# datatable_memcomp Version: 4.0.5-beta17
# common_memcomp Version: 4.0.5-beta20
# lang compiler Version: 4.1.6-beta1 Jul 19 2012 13:55:19 
# High Density Dual Port SRAM RVT RVT Compiler 
#  LOGIC0040LL 40nm Process 0.589um^2 Bit Cell, RAM-DP Datatable, Version r1p1
# Copyright 1993-2024 ARM Limited. All Rights Reserved
# Instance Name=SRAMdpw64d256
# Process=LOGIC0040LL 
# Words=256 
# Bits=64 
# Mux=4 
# Write Mask=off 
# Extra Margin Adjustment=on 
# Redundancy=off 
# Soft Error Repair=none 
# BIST Muxes=on 
# Output Drive=6 
# Power Routing Type=otc 
# Top Metal=m5-m10 
# Frequency=1 MHz 
# Power Gating=off 
# Retention=on 
# Back Biasing=off 
# Read Disturb Test=off 
# Pipeline=off 
# Write-thru=off 
# Units used in Datatable
# Area          : uM^2
# Voltage       : volts
# Temperature   : Degree Celsius
# Current       : mA
# Time          : ns
name      	ff_1p21v_1p21v_0c	
S		N
geomx     	442.4300  
geomy     	69.9450   
volt      	1.2100    
temp      	0.0000    
# Cycle time specific information. 
tcyc_ema0 	0.8528    
tcyc_ema1 	0.8965    
tcyc_ema2 	0.9384    
tcyc_ema3 	1.0084    
tcyc_ema4 	1.1067    
tcyc_ema5 	1.1299    
tcyc_ema6 	1.1905    
tcyc_ema7 	1.2377    
# Access time specific information. 
taccq_rd0 	0.4516    
taccq_rd1 	0.4516    
taccq_rd2 	0.4516    
taccq_rd3 	0.4516    
taccq_rd4 	0.4516    
taccq_rd5 	0.4516    
taccq_rd6 	0.4516    
taccq_rd7 	0.4516    
taccq_scan	0.2131    
# Scan delay time specific information. 
tclkso_rd0	0.5026    
tclkso_rd1	0.5026    
tclkso_rd2	0.5026    
tclkso_rd3	0.5026    
tclkso_rd4	0.5026    
tclkso_rd5	0.5026    
tclkso_rd6	0.5026    
tclkso_rd7	0.5026    
tclkso_scan	0.2644    
# Standard memory feature setuphold specific information. 
tas       	0.1567    
tah       	0.1356    
tcens     	0.1894    
tcenh     	0.1326    
twens     	0.1095    
twenh     	0.1372    
tds       	0.0173    
tdh       	0.1625    
# Standard memory input capacitance information.  
icap_a    	0.0038    
icap_clk  	0.0143    
icap_cen  	0.0037    
icap_d    	0.0042    
icap_wen  	0.0035    
kload_q   	0.4616    
# Clock collision specific information. 
tcc_rd0   	0.4433    
tcc_rd1   	0.4870    
tcc_rd2   	0.5289    
tcc_rd3   	0.5989    
tcc_rd4   	0.6972    
tcc_rd5   	0.7204    
tcc_rd6   	0.7810    
tcc_rd7   	0.8282    
tcc_wr0   	0.4433    
tcc_wr1   	0.4870    
tcc_wr2   	0.5289    
tcc_wr3   	0.5989    
tcc_wr4   	0.6972    
tcc_wr5   	0.7204    
