# datatable_memcomp Version: 4.0.5-beta17
# common_memcomp Version: 4.0.5-beta20
# lang compiler Version: 4.1.6-beta1 Jul 19 2012 13:55:19 
# High Density Dual Port SRAM RVT RVT Compiler 
#  LOGIC0040LL 40nm Process 0.589um^2 Bit Cell, RAM-DP Datatable, Version r1p1
# Copyright 1993-2024 ARM Limited. All Rights Reserved
# Instance Name=SRAMdpw64d256
# Process=LOGIC0040LL 
# Words=256 
# Bits=64 
# Mux=4 
# Write Mask=off 
# Extra Margin Adjustment=on 
# Redundancy=off 
# Soft Error Repair=none 
# BIST Muxes=on 
# Output Drive=6 
# Power Routing Type=otc 
# Top Metal=m5-m10 
# Frequency=1 MHz 
# Power Gating=off 
# Retention=on 
# Back Biasing=off 
# Read Disturb Test=off 
# Pipeline=off 
# Write-thru=off 
# Units used in Datatable
# Area          : uM^2
# Voltage       : volts
# Temperature   : Degree Celsius
# Current       : mA
# Time          : ns
name      	ss_0p99v_0p99v_125c	
S		N
geomx     	442.4300  
geomy     	69.9450   
volt      	0.9900    
temp      	125.0000  
# Cycle time specific information. 
tcyc_ema0 	2.2494    
tcyc_ema1 	2.3596    
tcyc_ema2 	2.4472    
tcyc_ema3 	2.5252    
tcyc_ema4 	2.7248    
tcyc_ema5 	2.8599    
tcyc_ema6 	3.0260    
tcyc_ema7 	3.1549    
# Access time specific information. 
taccq_rd0 	1.6001    
taccq_rd1 	1.7103    
taccq_rd2 	1.7979    
taccq_rd3 	1.8759    
taccq_rd4 	2.0755    
taccq_rd5 	2.2106    
taccq_rd6 	2.3767    
taccq_rd7 	2.5056    
taccq_scan	0.8015    
# Scan delay time specific information. 
tclkso_rd0	1.8016    
tclkso_rd1	1.9117    
tclkso_rd2	1.9994    
tclkso_rd3	2.0774    
tclkso_rd4	2.2770    
tclkso_rd5	2.4121    
tclkso_rd6	2.5781    
tclkso_rd7	2.7071    
tclkso_scan	1.0030    
# Standard memory feature setuphold specific information. 
tas       	0.3639    
tah       	0.3224    
tcens     	0.4089    
tcenh     	0.3193    
twens     	0.2742    
twenh     	0.3144    
tds       	0.1128    
tdh       	0.3650    
# Standard memory input capacitance information.  
icap_a    	0.0033    
icap_clk  	0.0129    
icap_cen  	0.0032    
icap_d    	0.0041    
icap_wen  	0.0030    
kload_q   	0.9686    
# Clock collision specific information. 
tcc_rd0   	1.1401    
tcc_rd1   	1.2503    
tcc_rd2   	1.3379    
tcc_rd3   	1.4159    
tcc_rd4   	1.6156    
tcc_rd5   	1.7506    
tcc_rd6   	1.9167    
tcc_rd7   	2.0457    
tcc_wr0   	1.1401    
tcc_wr1   	1.2503    
tcc_wr2   	1.3379    
tcc_wr3   	1.4159    
tcc_wr4   	1.6156    
tcc_wr5   	1.7506    
