# datatable_memcomp Version: 4.0.5-beta17
# common_memcomp Version: 4.0.5-beta20
# lang compiler Version: 4.1.6-beta1 Jul 19 2012 13:55:19 
# High Density Dual Port SRAM RVT RVT Compiler 
#  LOGIC0040LL 40nm Process 0.589um^2 Bit Cell, RAM-DP Datatable, Version r1p1
# Copyright 1993-2024 ARM Limited. All Rights Reserved
# Instance Name=SRAMdpw64d256
# Process=LOGIC0040LL 
# Words=256 
# Bits=64 
# Mux=4 
# Write Mask=off 
# Extra Margin Adjustment=on 
# Redundancy=off 
# Soft Error Repair=none 
# BIST Muxes=on 
# Output Drive=6 
# Power Routing Type=otc 
# Top Metal=m5-m10 
# Frequency=1 MHz 
# Power Gating=off 
# Retention=on 
# Back Biasing=off 
# Read Disturb Test=off 
# Pipeline=off 
# Write-thru=off 
# Units used in Datatable
# Area          : uM^2
# Voltage       : volts
# Temperature   : Degree Celsius
# Current       : mA
# Time          : ns
name      	tt_1p10v_1p10v_85c	
S		N
geomx     	442.4300  
geomy     	69.9450   
volt      	1.1000    
temp      	85.0000   
# Cycle time specific information. 
tcyc_ema0 	1.3947    
tcyc_ema1 	1.4313    
tcyc_ema2 	1.4867    
tcyc_ema3 	1.5590    
tcyc_ema4 	1.6975    
tcyc_ema5 	1.7583    
tcyc_ema6 	1.8384    
tcyc_ema7 	1.9158    
# Access time specific information. 
taccq_rd0 	0.9804    
taccq_rd1 	1.0162    
taccq_rd2 	1.0706    
taccq_rd3 	1.1414    
taccq_rd4 	1.2773    
taccq_rd5 	1.3369    
taccq_rd6 	1.4154    
taccq_rd7 	1.4913    
taccq_scan	0.4871    
# Scan delay time specific information. 
tclkso_rd0	1.1014    
tclkso_rd1	1.1372    
tclkso_rd2	1.1916    
tclkso_rd3	1.2624    
tclkso_rd4	1.3983    
tclkso_rd5	1.4579    
tclkso_rd6	1.5364    
tclkso_rd7	1.6123    
tclkso_scan	0.6081    
# Standard memory feature setuphold specific information. 
tas       	0.2288    
tah       	0.1942    
tcens     	0.2598    
tcenh     	0.1933    
twens     	0.1659    
twenh     	0.1925    
tds       	0.0510    
tdh       	0.2290    
# Standard memory input capacitance information.  
icap_a    	0.0035    
icap_clk  	0.0136    
icap_cen  	0.0034    
icap_d    	0.0041    
icap_wen  	0.0032    
kload_q   	0.6304    
# Clock collision specific information. 
tcc_rd0   	0.6935    
tcc_rd1   	0.7293    
tcc_rd2   	0.7836    
tcc_rd3   	0.8545    
tcc_rd4   	0.9903    
tcc_rd5   	1.0500    
tcc_rd6   	1.1284    
tcc_rd7   	1.2044    
tcc_wr0   	0.6935    
tcc_wr1   	0.7293    
tcc_wr2   	0.7836    
tcc_wr3   	0.8545    
tcc_wr4   	0.9903    
tcc_wr5   	1.0500    
